61378	['2021'] ['July'] ['02']	1	12 	3 	2 	2 	0 	0 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	4 	0 	0 	0 	1 	0 	0 	0 	0 	2 	4 	12 	7 	3 	11 	5 	0 	1 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
61379	['2021'] ['July'] ['02']	1	0 	0 	0 	0 	0 	0 	1 	0 	0 	2 	5 	3 	1 	3 	1 	1 	0 	0 	0 	0 	3 	0 	0 	1 	0 	0 	1 	0 	0 	0 	0 	2 	0 	4 	3 	0 	1 	1 	0 	1 	0 	2 	5 	0 	4 	0 	0 	1 	0 	0 	0 	0 	1 	1 	0 	0 	0 	0 	0 	0 	
61380	['2021'] ['July'] ['02']	1	2 	1 	0 	2 	0 	0 	0 	3 	3 	3 	1 	0 	0 	2 	7 	7 	5 	1 	3 	0 	0 	1 	0 	0 	0 	0 	0 	0 	1 	0 	1 	1 	0 	1 	2 	2 	3 	2 	0 	0 	0 	2 	2 	2 	0 	1 	1 	8 	4 	0 	9 	6 	7 	2 	1 	0 	1 	0 	2 	7 	
61381	['2021'] ['July'] ['02']	1	5 	0 	1 	0 	0 	0 	1 	2 	3 	0 	2 	7 	7 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	5 	3 	2 	1 	0 	3 	1 	1 	0 	0 	1 	0 	0 	6 	6 	1 	2 	4 	0 	0 	1 	0 	0 	4 	4 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
61382	['2021'] ['July'] ['02']	1	1 	1 	0 	0 	1 	2 	0 	0 	4 	6 	4 	6 	4 	7 	0 	0 	2 	2 	0 	0 	1 	0 	0 	0 	0 	3 	2 	1 	1 	1 	3 	0 	0 	1 	3 	2 	0 	3 	6 	7 	2 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	1 	0 	0 	
61383	['2021'] ['July'] ['02']	1	0 	2 	0 	4 	6 	1 	10 	5 	9 	9 	11 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	5 	3 	0 	7 	9 	12 	11 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	3 	0 	0 	0 	0 	0 	6 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	
61384	['2021'] ['July'] ['02']	1	1 	0 	1 	6 	7 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	1 	0 	0 	0 	2 	0 	0 	0 	1 	0 	0 	0 	0 	2 	0 	0 	7 	12 	7 	8 	10 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	9 	0 	0 	0 	5 	3 	6 	
61385	['2021'] ['July'] ['02']	1	10 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	1 	0 	2 	0 	0 	2 	7 	8 	0 	0 	0 	0 	0 	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	3 	0 	6 	6 	7 	2 	0 	0 	0 	0 	0 	0 	2 	5 	
61386	['2021'] ['July'] ['02']	1	0 	0 	0 	0 	10 	8 	0 	0 	0 	0 	7 	12 	14 	6 	0 	0 	0 	0 	0 	0 	1 	1 	0 	1 	0 	0 	3 	1 	0 	0 	8 	13 	3 	0 	0 	0 	0 	0 	0 	10 	6 	8 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	5 	6 	0 	0 	0 	
61387	['2021'] ['July'] ['02']	1	0 	0 	3 	9 	8 	0 	0 	0 	3 	13 	15 	6 	3 	0 	0 	0 	0 	0 	0 	0 	0 	3 	0 	1 	0 	0 	0 	7 	0 	0 	2 	12 	12 	13 	10 	11 	10 	1 	0 	0 	8 	4 	9 	9 	9 	11 	9 	6 	10 	1 	17 	17 	9 	17 	1 	0 	0 	0 	0 	0 	
61388	['2021'] ['July'] ['02']	1	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	1 	3 	0 	1 	0 	0 	5 	3 	0 	0 	0 	0 	0 	0 	0 	2 	1 	0 	0 	1 	9 	0 	0 	0 	0 	0 	0 	0 	2 	0 	5 	1 	0 	0 	0 	0 	2 	8 	0 	0 	0 	0 	1 	0 	0 	0 	3 	6 	12 	
61389	['2021'] ['July'] ['02']	1	1 	2 	2 	2 	2 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
61390	['2021'] ['July'] ['02']	1	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
61391	['2021'] ['July'] ['02']	1	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
61392	['2021'] ['July'] ['02']	1	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
61393	['2021'] ['July'] ['02']	1	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
61394	['2021'] ['July'] ['02']	1	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
61395	['2021'] ['July'] ['02']	1	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
61396	['2021'] ['July'] ['02']	1	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
61397	['2021'] ['July'] ['02']	1	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
61398	['2021'] ['July'] ['02']	1	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
61399	['2021'] ['July'] ['02']	1	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
61400	['2021'] ['July'] ['02']	1	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	
61401	['2021'] ['July'] ['03']	1	3 	1 	16 	5 	5 	0 	1 	0 	0 	1 	0 	2 	1 	0 	0 	0 	0 	0 	0 	3 	0 	0 	2 	8 	12 	14 	11 	6 	0 	0 	7 	7 	5 	3 	0 	0 	2 	8 	7 	6 	2 	2 	0 	0 	2 	0 	0 	0 	2 	0 	1 	1 	1 	0 	0 	0 	0 	1 	5 	7 	
